adduct,mz,rt QE,name,Formula,rt OE
M-H,131.0826,0.63,D-ORNITHINE,C5H12N2O2,0.73
M-H,131.0826,0.63,L-ORNITHINE,C5H12N2O2,0.73
M-H,145.0983,0.64,L-LYSINE,C6H14N2O2,0.59
M-H,154.0622,0.67,L-HISTIDINE,C6H9N3O2,0.62
M+Na-2H,176.0441,0.67,L-HISTIDINE+Na,C6H9N3O2,0.62
M+Cl,209.0811,0.69,L-ARGININE+Cl,C6H14N4O2,0.65
M-H,173.1044,0.69,L-ARGININE,C6H14N4O2,0.65
M-H,239.0166,0.69,L-CYSTINE,C6H12N2O4S2,0.63
M+Na-2H,260.9985,0.69,L-CYSTINE+Na,C6H12N2O4S2,0.63
M-H,104.0353,0.69,L-SERINE,C3H7NO3,0.63
M-H-[-H2O],161.0455,0.7,D-FRUCTOSE-H2O,C6H12O6,0.68
M-H,108.0125,0.7,HYPOTAURINE,C2H7NO2S,0.65
M-H,131.0462,0.7,L-ASPARAGINE,C4H8N2O3,0.64
M+Cl,167.0229,0.7,L-ASPARAGINE+Cl,C4H8N2O3,0.64
M+Na-2H,153.0282,0.7,L-ASPARAGINE+Na,C4H8N2O3,0.64
M-H-[-H2O],113.0357,0.7,L-ASPARAGINE-H2O,C4H8N2O3,0.64
M+Cl,215.0328,0.7,MANNOSE,C6H12O6,0.68
M+FA-H,225.0616,0.7,MANNOSE,C6H12O6,0.68
M-H,179.0561,0.7,MANNOSE,C6H12O6,0.68
M-H-[-H2O],161.0455,0.7,MANNOSE-H2O,C6H12O6,0.68
M-H,124.0074,0.71,TAURINE,C2H7NO3S,0.65
M-H,118.051,0.72,HOMOSERINE,C4H9NO3,0.66
M-H-[-H2O],100.0404,0.72,HOMOSERINE-H2O,C4H9NO3,0.66
M-H,132.0302,0.72,L-ASPARTATE,C4H7NO4,0.66
M+Na-2H,154.0122,0.72,L-ASPARTATE+Na,C4H7NO4,0.66
M-H-[-H2O],114.0197,0.72,L-ASPARTATE-H2O,C4H7NO4,0.66
M-H,179.0561,0.73,D-GALACTOSE,C6H12O6,0.67
M+Cl,215.0328,0.73,D-GALACTOSE+Cl,C6H12O6,0.67
M+FA-H,225.0616,0.73,D-GALACTOSE+FA,C6H12O6,0.67
M-H-[-H2O],161.0455,0.73,D-GALACTOSE-H2O,C6H12O6,0.67
M-H,179.0561,0.73,GLUCOSE/FRUCTOSE ,C6H12O6,0.68
M+Cl,215.0328,0.73,GLUCOSE/FRUCTOSE +Cl,C6H12O6,0.68
M+FA-H,225.0616,0.73,GLUCOSE/FRUCTOSE +FA,C6H12O6,0.68
M-H-[-H2O],161.0455,0.73,GLUCOSE/FRUCTOSE-H2O,C6H12O6,0.68
M-H,145.0619,0.73,L-GLUTAMINE,C5H10N2O3,0.67
M+Cl,181.0385,0.73,L-GLUTAMINE+Cl,C5H10N2O3,0.67
M-H-[-H2O],127.0513,0.73,L-GLUTAMINE-H2O,C5H10N2O3,0.67
