adduct,mz,rt QE,name,Formula,rt OE
M+H,195.07699,4.74,4-Aminohippuric Acid,C9H10N2O3,4.25
M+H,136.0618,1.48,ADENINE,C5H5N5,1.53
M+H-NH3,119.0352,1.48,ADENINE-NH3,C5H5N5,1.53
M+K,174.0177,1.48,ADENINE+K,C5H5N5,1.53
M+Na,158.0437,1.48,ADENINE+Na,C5H5N5,1.53
M+H,90.055,0.72,L-ALANINE,C3H7NO2,0.66
M+Na,112.0369,0.72,L-ALANINE+Na,C3H7NO2,0.66
M+H,159.0513,0.81,ALLANTOIN,C4H6N4O3,0.75
M+Na,181.0332,0.81,ALLANTOIN+Na,C4H6N4O3,0.75
M+H,147.02937,1.23,a-KETOGLUTARATE,C5H6O5,1.24
M+H,175.119,0.69,L-ARGININE,C6H14N4O2,0.64
M+H-NH3,158.0924,0.69,L-ARGININE-NH3,C6H14N4O2,0.64
M+K,213.0748,0.69,L-ARGININE+K,C6H14N4O2,0.64
M+Na,197.1009,0.69,L-ARGININE+Na,C6H14N4O2,0.64
M+H,177.03936,2.149,ASCORBATE,C6H8O6,1.14
M+H,133.0608,0.7,L-ASPARAGINE,C4H8N2O3,0.64
M+H-NH3,116.0342,0.7,L-ASPARAGINE-NH3,C4H8N2O3,0.64
M+K,171.0167,0.7,L-ASPARAGINE+K,C4H8N2O3,0.64
M+Na,155.0427,0.7,L-ASPARAGINE+Na,C4H8N2O3,0.64
M+H,134.0448,0.71,L-ASPARTATE,C4H7NO4,0.65
M+H-H2O,116.0342,0.71,L-ASPARTATE-H2O,C4H7NO4,0.65
M+Na,156.0267,0.71,L-ASPARTATE+Na,C4H7NO4,0.65
M+H-2H2O,357.2776,12.39,CHENODEOXYCHOLATE-2H2O,C24H40O4,10.82
M+H-H2O,375.2894,12.39,CHENODEOXYCHOLATE-H2O,C24H40O4,10.82
M+H-2H2O,373.2722,11.26,CHOLATE-2H2O,C24H40O5,9.73
M+H-H2O,391.2843,11.26,CHOLATE-H2O,C24H40O5,9.73
M+H-H2O,391.2827,11.26,CHOLATE-H2O,C24H40O5,9.73
M+Na,431.2768,11.26,CHOLATE+Na,C24H40O5,9.73
M+NH4,426.3197,11.26,CHOLATE+NH4,C24H40O5,9.73
