adduct,mz,rt QE,name,Formula
M+H,126.0315,0.69,(2-AMINOETHYL)PHOSPHONATE,C2H8NO3P
M+Na,148.0134,0.69,(2-AMINOETHYL)PHOSPHONATE+Na,C2H8NO3P
M+H-NH3,109.0049,0.69,(2-AMINOETHYL)PHOSPHONATE-NH3,C2H8NO3P
M+H,152.0164,10,"1,2-Benzisothiazolin-3-one",C7H5NOS
M+H,208.13281,9.004,"1,3-Benzodioxolyl-N-methylbutanamine (MBDB)",C12H17NO2
M+H,75.0917,0.59,"1,3-DIAMINOPROPANE",C3H10N2
M+H,113.0597,4.4,"1,4-CYCLOHEXANEDIONE",C6H8O2
M+H,189.1485,10,10-HYDROXYDECANOATE,C10H20O3
M+H-H2O,171.138,10,10-HYDROXYDECANOATE-H2O,C10H20O3
M+H,407.2792,10.89,12-KETOCHENODEOXYCHOLIC ACID,C24H38O5
M+Na,429.2611,10.89,12-KETOCHENODEOXYCHOLIC ACID+Na,C24H38O5
M+H-H2O,389.2686,10.89,12-KETOCHENODEOXYCHOLIC ACID-H2O,C24H38O5
M+H,102.055,0.77,1-AMINOCYCLOPROPANE-1-CARBOXYLATE,C4H7NO2
M+Na,124.0369,0.77,1-AMINOCYCLOPROPANE-1-CARBOXYLATE+Na,C4H7NO2
M+Na,189.05615,8.45,1-HEXANESULFONIC ACID+Na,C6H14O3S
M+H,180.1019,4.73,"1-METHYL-6,7-DIHYDROXY-1,2,3,4-TETRAHYDROISOQUINOLINE",C10H13NO2
M+H-NH3,163.0754,4.73,"1-METHYL-6,7-DIHYDROXY-1,2,3,4-TETRAHYDROISOQUINOLINE-NH3",C10H13NO2
M+H,282.1197,6.67,1-METHYLADENOSINE,C11H15N5O4
M+K,320.0756,6.67,1-METHYLADENOSINE+K,C11H15N5O4
M+Na,304.1016,6.67,1-METHYLADENOSINE+Na,C11H15N5O4
M,137.0709,0.89,1-METHYLNICOTINAMIDE,C7H9N2O
M+H,144.0808,9.47,1-NAPHTHYLAMINE,C10H9N
